GEOID,NAME,variable,estimate,moe,Zip Code
72444,ZCTA5 72444,B07004H_006,0,11,72444
72445,ZCTA5 72445,B07004H_006,0,11,72445
72447,ZCTA5 72447,B07004H_006,0,11,72447
72449,ZCTA5 72449,B07004H_006,0,11,72449
72450,ZCTA5 72450,B07004H_006,48,62,72450
72453,ZCTA5 72453,B07004H_006,0,11,72453
72454,ZCTA5 72454,B07004H_006,0,11,72454
72455,ZCTA5 72455,B07004H_006,17,27,72455
72456,ZCTA5 72456,B07004H_006,0,11,72456
72457,ZCTA5 72457,B07004H_006,0,11,72457
72458,ZCTA5 72458,B07004H_006,0,11,72458
72459,ZCTA5 72459,B07004H_006,0,11,72459
72460,ZCTA5 72460,B07004H_006,0,11,72460
72461,ZCTA5 72461,B07004H_006,0,11,72461
72462,ZCTA5 72462,B07004H_006,0,11,72462
72464,ZCTA5 72464,B07004H_006,0,11,72464
72466,ZCTA5 72466,B07004H_006,0,11,72466
72467,ZCTA5 72467,B07004H_006,6,13,72467
72469,ZCTA5 72469,B07004H_006,0,11,72469
72470,ZCTA5 72470,B07004H_006,0,11,72470
72471,ZCTA5 72471,B07004H_006,0,11,72471
72472,ZCTA5 72472,B07004H_006,0,16,72472
72473,ZCTA5 72473,B07004H_006,0,11,72473
72476,ZCTA5 72476,B07004H_006,0,16,72476
72478,ZCTA5 72478,B07004H_006,0,11,72478
72479,ZCTA5 72479,B07004H_006,0,11,72479
72482,ZCTA5 72482,B07004H_006,0,11,72482
72501,ZCTA5 72501,B07004H_006,16,26,72501
72512,ZCTA5 72512,B07004H_006,12,18,72512
72513,ZCTA5 72513,B07004H_006,0,11,72513
72515,ZCTA5 72515,B07004H_006,0,11,72515
72517,ZCTA5 72517,B07004H_006,0,11,72517
72519,ZCTA5 72519,B07004H_006,0,11,72519
72520,ZCTA5 72520,B07004H_006,0,11,72520
72521,ZCTA5 72521,B07004H_006,0,16,72521
72522,ZCTA5 72522,B07004H_006,0,11,72522
72523,ZCTA5 72523,B07004H_006,0,11,72523
72524,ZCTA5 72524,B07004H_006,0,11,72524
72526,ZCTA5 72526,B07004H_006,0,11,72526
72527,ZCTA5 72527,B07004H_006,0,11,72527
72528,ZCTA5 72528,B07004H_006,0,11,72528
72529,ZCTA5 72529,B07004H_006,0,11,72529
72530,ZCTA5 72530,B07004H_006,0,11,72530
72531,ZCTA5 72531,B07004H_006,0,11,72531
72532,ZCTA5 72532,B07004H_006,0,11,72532
72533,ZCTA5 72533,B07004H_006,0,11,72533
72534,ZCTA5 72534,B07004H_006,0,11,72534
72536,ZCTA5 72536,B07004H_006,0,11,72536
72537,ZCTA5 72537,B07004H_006,0,11,72537
72538,ZCTA5 72538,B07004H_006,0,11,72538
72539,ZCTA5 72539,B07004H_006,0,11,72539
72540,ZCTA5 72540,B07004H_006,0,11,72540
72542,ZCTA5 72542,B07004H_006,0,11,72542
72543,ZCTA5 72543,B07004H_006,14,23,72543
72544,ZCTA5 72544,B07004H_006,0,11,72544
72546,ZCTA5 72546,B07004H_006,0,11,72546
72550,ZCTA5 72550,B07004H_006,0,11,72550
72553,ZCTA5 72553,B07004H_006,0,11,72553
72554,ZCTA5 72554,B07004H_006,0,11,72554
72555,ZCTA5 72555,B07004H_006,0,11,72555
72556,ZCTA5 72556,B07004H_006,0,11,72556
72560,ZCTA5 72560,B07004H_006,37,55,72560
72561,ZCTA5 72561,B07004H_006,0,11,72561
72562,ZCTA5 72562,B07004H_006,2,3,72562
72564,ZCTA5 72564,B07004H_006,0,11,72564
72565,ZCTA5 72565,B07004H_006,0,11,72565
72566,ZCTA5 72566,B07004H_006,0,11,72566
72567,ZCTA5 72567,B07004H_006,0,11,72567
72568,ZCTA5 72568,B07004H_006,0,11,72568
72569,ZCTA5 72569,B07004H_006,0,11,72569
72571,ZCTA5 72571,B07004H_006,0,11,72571
72572,ZCTA5 72572,B07004H_006,0,11,72572
